Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Object ID
argC	b3958	4155001	4156005	N-acetylglutamylphosphate reductase	EG10065
yhhS	b3473	3610516	3611733	putative transporter YhhS	EG12219
fecB	b4290	4513406	4514308	ferric citrate ABC transporter periplasmic binding protein	EG10287
fhuD	b0152	170575	171465	iron(III) hydroxamate ABC transporter periplasmic binding protein	EG10305
mdtO	b4081	4301027	4303078	putative multidrug efflux pump subunit MdtO	EG11953
artM	b0861	900866	901534	L-arginine ABC transporter membrane subunit ArtM	EG11627
argE	b3957	4153696	4154847	acetylornithine deacetylase	EG11286
adeP	b3714	3895272	3896609	adenine:H<sup>+</sup> symporter	EG11724
nfeF	b3070	3215727	3216491	NADPH-dependent ferric-chelate reductase	G7593
argI	b4254	4477307	4478311	ornithine carbamoyltransferase ArgI	EG10069
yaaJ	b0007	6529	7959	putative transporter YaaJ	EG11555
fhuF	b4367	4604875	4605663	ferric-siderophore reductase FhuF	G7949
artI	b0863	902257	902988	putative ABC transporter periplasmic binding protein ArtI	EG11625
tsgA	b3364	3492568	3493749	putative transporter TsgA	EG11262
bfr	    b3336	3466249	3466725	bacterioferritin	EG10113
pheP	b0576	601959	603335	phenylalanine:H+ symporter PheP	EG10708
ybdZ	b4511	613942	614160	enterobactin biosynthesis protein YbdZ	G0-10437
glnP	b0810	846460	847119	L-glutamine ABC transporter membrane subunit	EG10388
glnQ	b0809	845741	846463	L-glutamine ABC transporter ATP binding subunit	EG10389
acrF	b3266	3415033	3418137	multidrug efflux pump RND permease AcrF	EG10267
fepB	b0592	623554	624510	ferric enterobactin ABC transporter periplasmic binding protein	EG10294
glnH	b0811	847258	848004	L-glutamine ABC transporter periplasmic binding protein	EG10386
gudP	b2789	2920748	2922100	galactarate/D-glucarate transporter GudP	G7447
fecE	b4287	4510690	4511457	ferric citrate ABC transporter ATP binding subunit	EG10290
alaA	b2290	2407561	2408778	glutamate&mdash;pyruvate aminotransferase AlaA	G7184
yeaV	b1801	1883188	1884633	putative transporter YeaV	G6987
ftnA	b1905	1988716	1989213	ferritin iron storage protein	EG10921
alaC	b2379	2497057	2498295	glutamate&mdash;pyruvate aminotransferase AlaC	G7242
puuP	b1296	1357802	1359187	putrescine:H+ symporter PuuP	G6643
fhuC	b0151	169778	170575	iron(III) hydroxamate ABC transporter ATP binding subunit	EG10304
dadX	b1190	1238879	1239949	alanine racemase 2	EG11408
yagG	b0270	285395	286777	CP4-6 prophage; putative D-xylonate transporter YagG	G6142
mgrB	b1826	1908623	1908766	PhoQ kinase inhibitor	G7002
alr	    b4053	4265782	4266861	alanine racemase 1	EG10001
sstT	b3089	3239944	3241188	serine/threonine:Na+ symporter	EG12732
hdeD	b3511	3656995	3657567	acid-resistance membrane protein	EG11495
alaB				glutamate&mdash;pyruvate aminotransferase AlaB	G0-9281
mdtK	b1663	1743457	1744830	multidrug efflux pump MdtK	EG12400
hdeB	b3509	3655966	3656292	periplasmic acid stress chaperone HdeB	EG11399
avtA	b3572	3739705	3740958	valine&mdash;pyruvate aminotransferase	EG10107
narU	b1469	1542672	1544060	nitrate/nitrite transporter NarU	EG12153
yjaA	b4011	4213234	4213617	stress response protein	EG11206
tyrB	b4054	4267114	4268307	tyrosine aminotransferase	EG11040
yjcE	b4065	4279980	4281629	putative transporter YjcE	EG11940
bsmA	b4189	4416441	4416770	DUF1471 domain-containing putative lipoprotein BsmA	G7852
pheA	b2599	2737745	2738905	fused chorismate mutase/prephenate dehydratase	EG10707
acrA	b0463	484426	485619	multidrug efflux pump membrane fusion lipoprotein AcrA	EG11703
ygiN	b3029	3173142	3173456	putative quinol monooxygenase YgiN	EG12657
tyrA	b2600	2738948	2740069	fused chorismate mutase/prephenate dehydrogenase	EG11039
dinF	b4044	4257742	4259121	DNA damage-inducible protein F	EG11491
yhbO	b3153	3298974	3299492	protein/nucleic acid deglycase 2	G7647
argD	b3359	3488960	3490180	<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase	EG10066
dcuA	b4138	4365472	4366773	C4-dicarboxylate transporter DcuA	EG11225
yodD	b1953	2024986	2025213	stress-induced protein	G7046
thrA	b0002	337	2799	fused aspartate kinase/homoserine dehydrogenase 1	EG10998
nirC	b3367	3497003	3497809	nitrite transporter NirC	EG10654
adiA	b4117	4338254	4340521	arginine decarboxylase, degradative	EG11501
lysC	b4024	4231884	4233233	aspartate kinase III	EG10550
cadB	b4132	4358697	4360031	lysine:cadaverine antiporter	EG10132
asr	    b1597	1671376	1671684	periplasmic chaperone Asr	G6855
dapE	b2472	2591607	2592734	succinyl-diaminopimelate desuccinylase	EG10208
alaE	b2670	2799164	2799613	AlaE	G7399
inaA	b2237	2348822	2349472	putative lipopolysaccharide kinase InaA	EG11422
dapA	b2478	2598882	2599760	4-hydroxy-tetrahydrodipicolinate synthase	EG10205
tcyP	b1729	1810934	1812325	cystine/sulfocysteine:cation symporter	G6934
yceO	b1058	1119307	1119447	DUF2770 domain-containing protein YceO	G6555
argT	b2310	2427009	2427791	lysine/arginine/ornithine ABC transporter periplasmic binding protein	EG10072
mdtH	b1065	1124118	1125326	multidrug efflux pump MdtH	G6559
gadA	b3517	3666180	3667580	glutamate decarboxylase A	EG50009
dapF	b3809	3994762	3995586	diaminopimelate epimerase	EG10209
kefB	b3350	3478802	3480607	K+ : H+ antiporter KefB	EG20110
yhcN	b3238	3385538	3385801	DUF1471 domain-containing stress-induced protein YhcN	G7683
gntU	b4476	3575721	3577061	low-affinity gluconate transporter	EG12631
yqgB	b2939	3085920	3086051	acid stress response protein YqgB	G7521
dapB	b0031	28374	29195	4-hydroxy-tetrahydrodipicolinate reductase	EG10206
asd	    b3433	3573775	3574878	aspartate-semialdehyde dehydrogenase	EG10088
ydjE	b1769	1852621	1853979	putative transporter YdjE	EG12369
yobF	b1824	1907448	1907591	DUF2527 domain-containing protein YobF	G7000
metL	b3940	4129835	4132267	fused aspartate kinase/homoserine dehydrogenase 2	EG10590
punC	b1660	1739911	1741122	purine nucleoside transporter PunC	EG12141
gadB	b1493	1570645	1572045	glutamate decarboxylase B	EG11490
lysA	b2838	2977637	2978899	diaminopimelate decarboxylase	EG10549
plaP	b2014	2085704	2087062	putrescine:H+ symporter PlaP	EG11896
yagU	b0287	302991	303605	DUF1440 domain-containing inner membrane protein YagU	G6158
dapD	b0166	185123	185947	tetrahydrodipicolinate succinylase	EG10207
nepI	b3662	3840549	3841739	purine ribonucleoside exporter	EG11689
yhiM	b3491	3634841	3635893	inner membrane protein YhiM	EG12228
serC	b0907	957653	958741	phosphoserine/phosphohydroxythreonine aminotransferase	EG10946
thrP	b3795	3980887	3982272	threonine/serine:H<sup>+</sup> symporter ThrP	EG11459
cadA	b4131	4356470	4358617	lysine decarboxylase 1	EG10131
serA	b2913	3057178	3058410	phosphoglycerate dehydrogenase	EG10944
entS	b0591	622300	623550	enterobactin exporter EntS	EG11104
alx	    b3088	3238580	3239545	putative membrane-bound redox modulator Alx	G7607
serB	b4388	4624895	4625863	phosphoserine phosphatase	EG10945
emrE	b0543	568315	568647	DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE	EG10629
kbp	    b2665	2796337	2796786	K<sup>+</sup> binding protein	G7395
proA	b0243	261503	262756	glutamate-5-semialdehyde dehydrogenase	EG10767
araJ	b0396	411297	412481	putative transport protein AraJ	EG10060
osmB	b1283	1343110	1343328	osmotically-inducible lipoprotein OsmB	EG10679
proB	b0242	260388	261491	glutamate 5-kinase	EG10768
mntH	b2392	2511468	2512706	Mn<sup>2+</sup> : H<sup>+</sup> symporter	G7254
ecnA	b4410	4376317	4376442	entericidin A lipoprotein, antidote to entericidin B	G0-41
proC	b0386	404835	405644	pyrroline-5-carboxylate reductase	EG10769
ydhP	b1657	1736121	1737290	putative transporter YdhP	G6893
proX	b2679	2807132	2808124	glycine betaine ABC transporter periplasmic binding protein ProX	EG10773
aroE	b3281	3430020	3430838	shikimate dehydrogenase	EG10077
mdfA	b0842	883673	884905	multidrug efflux pump MdfA / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter	G6440
osmC	b1482	1556625	1557056	osmotically inducible peroxiredoxin OsmC	EG10680
aroB	b3389	3517398	3518486	3-dehydroquinate synthase	EG10074
emrY	b2367	2480638	2482176	tripartite efflux pump membrane subunit EmrY	EG13283
yggT	b2952	3095820	3096386	uncharacterized protein YggT	G7528
ydiB	b1692	1773789	1774655	quinate/shikimate dehydrogenase	EG11234
mdtM	b4337	4567287	4568519	multidrug efflux pump / bile salt:H<sup>+</sup> antiporter / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter	EG12576
osmY	b4376	4611396	4612001	periplasmic chaperone OsmY	EG11391
aroF	b2601	2740080	2741150	3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive	EG10078
yiaN	b3578	3744804	3746081	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit	EG12282
ecnB	b4411	4376553	4376699	bacteriolytic entericidin B lipoprotein	G0-9562
aroC	b2329	2446388	2447473	chorismate synthase	EG10075
uraA	b2497	2618871	2620160	uracil:H<sup>+</sup> symporter UraA	EG12129
proV	b2677	2804815	2806017	glycine betaine ABC transporter ATP binding subunit ProV	EG10771
aroK	b3390	3518543	3519064	shikimate kinase 1	EG10081
kdgT	b3909	4101690	4102673	2-dehydro-3-deoxy-D-gluconate:H<sup>+</sup> symporter	EG11869
tpx 	b1324	1388305	1388811	lipid hydroperoxide peroxidase	G6660
aroD	b1693	1774686	1775444	3-dehydroquinate dehydratase	EG10076
uidB	b1616	1692890	1694263	glucuronide:H<sup>+</sup> symporter	EG11658
pxpA	b0713	745165	745899	5-oxoprolinase component A	G6382
aroA	b0908	958812	960095	3-phosphoshikimate 1-carboxyvinyltransferase	EG10073
nhaB	b1186	1233176	1234717	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaB	EG11392
ahpC	b0605	638945	639508	alkyl hydroperoxide reductase, AhpC component	EG11384
aroL	b0388	406405	406929	shikimate kinase 2	EG10082
tyrP	b1907	1989681	1990892	tyrosine:H+ symporter	EG11041
yqiI	b3048	3190632	3191696	putative fimbrial protein YqiI	G7587
ilvI	b0077	85630	87354	acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit	EG10500
lacY	b0343	361926	363179	lactose permease	EG10526
frmB	b0355	377535	378368	<i>S</i>-formylglutathione hydrolase FrmB	G6208
ilvD	b3771	3953478	3955328	dihydroxy-acid dehydratase	EG10496
yjeH	b4141	4369156	4370412	L-methionine/branched chain amino acid exporter	G7833
yeiG	b2154	2243910	2244746	<i>S</i>-formylglutathione hydrolase / <i>S</i>-lactoylglutathione hydrolase	EG12026
ilvL	b3766	3950322	3950420	<i>ilvXGMEDA</i> operon leader peptide	EG11270
yfaV	b2246	2358863	2360152	putative transporter YfaV	G7159
paoC	b0284	298736	300934	aldehyde dehydrogenase, molybdenum cofactor-binding subunit	G6155
ilvA	b3772	3955331	3956875	threonine deaminase	EG10493
mdtJ	b1600	1673136	1673501	multidrug/spermidine efflux pump membrane subunit MdtJ	G6858
dtd	    b3887	4077015	4077452	D-aminoacyl-tRNA deacylase	EG11852
livJ	b3460	3598555	3599658	branched chain amino acid/phenylalanine ABC transporter periplasmic binding protein	EG10539
dtpD	b0709	741075	742556	dipeptide:H<sup>+</sup> symporter DtpD	G6378
sodC	b1646	1724134	1724655	superoxide dismutase (Cu-Zn)	G6886
livF	b3454	3592724	3593437	branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF	EG10536
frlA	b3370	3499910	3501247	fructoselysine/psicoselysine transporter	EG12908
yieF	b3713	3894652	3895218	quinone reductase	EG11723
ilvM	b3769	3952201	3952464	acetolactate synthase II subunit IlvM	EG10501
nanX	b4279	4504058	4505275	sialic acid transporter NanX	EG12544
katE	b1732	1813867	1816128	catalase HPII	EG10509
ilvE	b3770	3952484	3953413	branched-chain-amino-acid aminotransferase	EG10497
yhjV	b3539	3700563	3701834	putative transporter YhjV	EG12266
ybiA	b0798	832468	832950	<i>N</i>-glycosidase YbiA	EG11579
ivbL	b3672	3852890	3852988	<i>ilvBN</i> operon leader peptide	EG11275
nupX	b2161	2252895	2254145	putative nucleoside transporter	EG12029
bcp	    b2480	2600478	2600948	thiol peroxidase	EG10108
ilvB	b3671	3851096	3852784	acetohydroxy acid synthase I subunit IlvB	EG10494
yihN	b3874	4062247	4063512	putative transporter YihN	EG11840
gstB	b0838	879854	880480	glutathione <i>S</i>-transferase GstB	G6438
gdx 	b4148	4376875	4377192	guanidinium exporter	EG11616
ahpF	b0606	639753	641318	alkyl hydroperoxide reductase, AhpF component	EG11385
livM	b3456	3594203	3595480	branched chain amino acid/phenylalanine ABC transporter membrane subunit LivM	EG10541
livG	b3455	3593439	3594206	branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG	EG10537
lysP	b2156	2247063	2248532	lysine:H+ symporter	EG11337
cyuA	b4470	3255341	3256651	L-cysteine desulfidase	G7622
ilvN	b3670	3850802	3851092	acetohydroxy acid synthase I subunit IlvN	EG10502
tnaB	b3709	3890236	3891483	tryptophan:H+ symporter TnaB	EG11006
pxpB	b0711	743593	744249	5-oxoprolinase component B	G6380
ilvH	b0078	87357	87848	acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit	EG10499
gltS	b3653	3827460	3828665	glutamate:sodium symporter	EG10406
yfgD	b2495	2617578	2617937	putative oxidoreductase YfgD	G7312
ilvC	b3774	3957970	3959445	ketol-acid reductoisomerase (NADP<sup>+</sup>)	EG10495
uacT	b2888	3031367	3032815	urate:H<sup>+</sup> symporter	G7507
paoB	b0285	300931	301887	aldehyde dehydrogenase, FAD-binding Fe-S subunit	G6156
mdtB	b2075	2155263	2158385	multidrug efflux pump RND permease subunit MdtB	G7114
yiiM	b3910	4102822	4103496	6-hydroxyaminopurine reductase	EG11870
livH	b3457	3595477	3596403	branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH	EG10538
trpE	b1264	1321384	1322946	anthranilate synthase subunit TrpE	EG11028
ydfJ	b1543	1631002	1632285	putative transporter YdfJ	G6817
sodA	b3908	4100810	4101430	superoxide dismutase (Mn)	EG10953
trpB	b1261	1317222	1318415	tryptophan synthase subunit &beta;	EG11025
allW	b0511	537633	539087	allantoin transporter	G6280
nnr 	b4167	4394066	4395613	NAD(P)HX epimerase / NAD(P)HX dehydratase	EG11758
trpC	b1262	1318427	1319788	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase	EG11026
yrbG	b3196	3340275	3341252	putative transport protein YrbG	EG12802
katG	b3942	4133835	4136015	catalase/hydroperoxidase HPI	EG10511
trpL	b1265	1323038	1323082	<i>trp</i> operon leader peptide	EG11274
yjeM	b4156	4383839	4385341	putative transporter YjeM	EG12475
ycbX	b0947	1006491	1007600	6-<i>N</i>-hydroxylaminopurine resistance protein	G6487
trpD	b1263	1319789	1321384	anthranilate synthase subunit TrpD	EG11027
pitA	b3493	3637642	3639141	metal phosphate:H<sup>+</sup> symporter PitA	EG12230
yhhY	b3441	3581138	3581626	<i>N</i>-acetyltransferase YhhY	G7758
trpA	b1260	1316416	1317222	tryptophan synthase subunit &alpha;	EG11024
mdtN	b4082	4303078	4304109	putative multidrug efflux pump membrane fusion protein	EG11954
pxpC	b0712	744243	745175	5-oxoprolinase component C	G6381
aroH	b1704	1788435	1789481	3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive	EG10080
ygiS	b3020	3166111	3167718	putative deoxycholate binding periplasmic protein	G7570
hsrA	b3754	3939185	3940612	putative transporter HsrA	EG11732
ydbD	b1407	1475144	1477450	DUF2773 domain-containing protein YdbD	EG11310
thrC	b0004	3734	5020	threonine synthase	EG11000
ytfQ	b4227	4449962	4450918	galactofuranose ABC transporter periplasmic binding protein	EG12517
caiT	b0040	40417	41931	L-carnitine:&gamma;-butyrobetaine antiporter	EG11561
gpr 	b3001	3147897	3148937	L-glyceraldehyde 3-phosphate reductase	G7558
thrB	b0003	2801	3733	homoserine kinase	EG10999
znuA	b1857	1941651	1942583	Zn<sup>2+</sup> ABC transporter periplasmic binding protein	G7017
rhaT	b3907	4099491	4100525	rhamnose/lyxose:H<sup>+</sup> symporter	EG11313
rcnB	b2107	2186960	2187298	periplasmic protein involved in nickel/cobalt export	G7139
cysK	b2414	2532409	2533380	cysteine synthase A	EG10192
btuF	b0158	177662	178462	vitamin B<sub>12</sub> ABC transporter periplasmic binding protein	EG12334
potE	b0692	716946	718265	putrescine transporter PotE	EG10753
paoA	b0286	301884	302573	aldehyde dehydrogenase, Fe-S subunit	G6157
cysM	b2421	2538672	2539583	cysteine synthase B	EG10193
phnD	b4105	4323336	4324352	phosphonate/phosphate ABC transporter periplasmic binding protein	EG10714
fucP	b2801	2934235	2935551	L-fucose:H+ symporter	EG10352
sodB	b1656	1735378	1735959	superoxide dismutase (Fe)	EG10954
cysE	b3607	3781741	3782562	serine acetyltransferase	EG10187
ddpA	b1487	1560931	1562481	putative D,D-dipeptide ABC transporter periplasmic binding protein	G6781
yqeG	b2845	2985847	2987076	putative transporter YqeG	G7465
hxpB	b1727	1809380	1810048	hexitol phosphatase B	G6932
aspC	b0928	984519	985709	aspartate aminotransferase	EG10096
yejA	b2177	2272364	2274178	putative oligopeptide ABC transporter periplasmic binding protein YejA	EG12037
yebQ	b1828	1910276	1911649	putative transporter YebQ	G7004
yjjX	b4394	4633233	4633745	inosine/xanthosine triphosphatase	EG12600
ycjN	b1310	1371909	1373201	putative ABC transporter periplasmic binding protein YcjN	G6648
ydcO	b1433	1504905	1506080	putative transport protein YdcO	G6744
gstA	b1635	1714377	1714982	glutathione <i>S</i>-transferase GstA	G6878
gltK	b0653	685255	685929	glutamate/aspartate ABC transporter membrane subunit GltK	EG12662
gdhA	b1761	1842371	1843714	glutamate dehydrogenase	EG10372
metQ	b0197	220113	220928	L-methionine/D-methionine ABC transporter membrane anchored binding protein	EG11504
mhpT	b0353	375459	376670	3-hydroxyphenylpropionate/3-hydroxycinnamate:H<sup>+</sup> symporter	G6206
arsC	b3503	3650237	3650662	arsenate reductase	EG12237
gltL	b0652	684530	685255	glutamate/aspartate ABC transporter ATP binding subunit	EG12663
lptA	b3200	3343380	3343937	lipopolysaccharide transport system protein LptA	G7665
exuT	b3093	3245224	3246522	hexuronate transporter	EG12738
yafQ	b0225	245961	246239	ribosome-dependent mRNA interferase toxin YafQ	G6109
gltI	b0655	686839	687747	glutamate/aspartate ABC transporter periplasmic binding protein	G6359
tcyJ	b1920	1999585	2000385	cystine ABC transporter periplasmic binding protein	G7039
eamB	b2578	2715423	2716010	cysteine/<i>O</i>-acetylserine exporter EamB	EG12445
mokC	b0018	16751	16960	regulatory protein MokC	EG10373
lsrB	b1516	1605051	1606073	Autoinducer-2 ABC transporter periplasmic binding protein	G6803
brnQ	b0401	419591	420910	branched chain amino acid transporter BrnQ	EG12168
ldrC	b4423	1270238	1270345	small toxic polypeptide LdrC	G0-9607
gltJ	b0654	685929	686669	glutamate/aspartate ABC transporter membrane subunit GltJ	EG12661
acpT	b3475	3612969	3613556	holo-[acyl carrier protein] synthase 2	EG12221
nikA	b3476	3613667	3615241	nickel ABC transporter periplasmic binding protein	EG12075
actP	b4067	4283253	4284902	acetate/glycolate:cation symporter	EG11942
hokC	b4412	16751	16903	protein HokC	G0-9563
fabH	b1091	1148759	1149712	3-oxoacyl-[acyl carrier protein] synthase 3	EG10277
gsiB	b0830	869411	870949	glutathione ABC transporter periplasmic binding protein	G6430
yidK	b3679	3858401	3860116	putative transporter YidK	EG11706
dinJ	b0226	246242	246502	antitoxin/DNA-binding transcriptional repressor DinJ	G6110
accA	b0185	208621	209580	acetyl-CoA carboxyltransferase subunit &alpha;	EG11647
yphF	b2548	2678384	2679367	putative ABC transporter periplasmic binding protein YphF	G7342
satP	b0010	9928	10494	acetate/succinate:H<sup>+</sup> symporter	EG11512
hokB	b4428	1491922	1492071	toxin HokB	G0-9610
fabA	b0954	1015952	1016470	&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase	EG10273
ynjB	b1754	1836073	1837239	putative ABC transporter periplasmic binding protein YnjB	G6949
ycaD	b0898	945871	947019	putative transporter YcaD	EG11242
ldrA	b4419	1269168	1269275	small toxic polypeptide LdrA	G0-9602
accD	b2316	2433012	2433926	acetyl-CoA carboxyltransferase subunit &beta;	EG10217
osmF	b2131	2218564	2219481	glycine betaine ABC transporter periplasmic binding protein OsmF	EG12012
nupG	b2964	3105714	3106970	nucleoside:H<sup>+</sup> symporter NupG	EG10664
hlyE	b1182	1229483	1230394	hemolysin E	G6619
fabD	b1092	1149728	1150657	[acyl-carrier-protein] <i>S</i>-malonyltransferase	EG11317
cynX	b0341	359992	361146	cyanate transporter	EG10177
hokA	b4455	3720448	3720600	small toxic polypeptide	G0-9613
fabF	b1095	1151939	1153180	3-oxoacyl-[acyl carrier protein] synthase 2	EG12606
ygbN	b2740	2865101	2866465	putative transporter YgbN	G7421
ldrB	b4421	1269703	1269810	small toxic polypeptide LdrB	G0-9605
fabB	b2323	2440385	2441605	3-oxoacyl-[acyl carrier protein] synthase 1	EG10274
ydjK	b1775	1858850	1860229	putative transporter YdjK	G6962
ratA	b2619	2754288	2754764	ribosome association toxin RatA	G7358
fabI	b1288	1350251	1351039	enoyl-[acyl-carrier-protein] reductase	EG11528
murJ	b1069	1127839	1129374	lipid II flippase MurJ	G6561
ldrD	b4453	3699980	3700087	small toxic polypeptide LdrD	G0-9041
fabG	b1093	1150670	1151404	3-oxoacyl-[acyl-carrier-protein] reductase FabG	EG11318
nanT	b3224	3371084	3372574	<i>N</i>-acetylneuraminate:H<sup>+</sup> symporter	G436
tehB	b1430	1501562	1502155	tellurite methyltransferase	EG11884
fadH	b3081	3231665	3233683	2,4-dienoyl-CoA reductase	G36
yddG	b1473	1546288	1547169	amino acid exporter YddG	EG12713
fau	    b2912	3056241	3056789	putative 5-formyltetrahydrofolate cyclo-ligase	EG11158
fabY	b3888	4077449	4078438	putative fatty acid biosynthesis enzyme FabY	EG11853
gntT	b3415	3546559	3547875	high-affinity gluconate transporter	EG12380
pmrD	b2259	2373272	2373538	signal transduction protein PmrD	G7172
accC	b3256	3405917	3407266	biotin carboxylase	EG10276
sdaC	b2796	2928229	2929518	L-serine:H+ symporter SdaC	EG12142
ampH	b0376	395130	396287	peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase	EG12867
cfa 	b1661	1741413	1742561	cyclopropane fatty acyl phospholipid synthase	EG11531
yjbB	b4020	4227731	4229362	putative inorganic phosphate export protein YjbB	EG11919
yqiA	b3031	3175425	3176006	esterase YqiA	G7578
acpS	b2563	2700618	2700998	holo-[acyl-carrier-protein] synthase	EG10247
adeQ	b3664	3842455	3843789	adenine transporter	EG11691
yahD	b0318	335280	335885	ankyrin repeat-containing protein YahD	G6183
fabZ	b0180	202101	202556	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	EG11284
rhtC	b3823	4007757	4008377	L-threonine exporter	EG11468
secA	b0098	108279	110984	protein translocation ATPase	EG10936
secB	b3609	3783661	3784128	protein export chaperone SecB	EG10937
argO	b2923	3068173	3068808	L-arginine exporter	EG11159
gnsB	b1550	1637609	1637782	Qin prophage; protein GnsB	G6823
psuK	b2166	2258355	2259296	putative pseudouridine kinase	EG11646
narK	b1223	1277957	1279348	nitrate:nitrite antiporter NarK	EG10642
kdpF	b4513	728732	728821	K<sup>+</sup> transporting P-type ATPase subunit KdpF	G0-10439
pyrC	b1062	1121561	1122607	dihydroorotase	EG10806
aroP	b0112	120178	121551	aromatic amino acid:H<sup>+</sup> symporter AroP	EG10084
ybiR	b0818	853647	854765	putative transporter YbiR	G6421
carA	b0032	29651	30799	carbamoyl-phosphate synthetase small subunit	EG10134
focB	b2492	2613934	2614782	formate channel FocB	G7309
afuC	b0262	277756	278802	CP4-6 prophage; ABC transporter ATP-binding protein AfuC	EG12340
yahI	b0323	340165	341115	carbamate kinase-like protein YahI	G6188
ydiM	b1690	1771071	1772285	putative exporter YdiM	G6916
ybbP	b0496	520416	522830	putative ABC transporter membrane subunit YbbP	G6270
ycaM	b0899	947229	948659	putative transporter YcaM	G6466
pyrD	b0945	1004768	1005778	dihydroorotate dehydrogenase, type 2	EG10807
dctA	b3528	3682161	3683447	C4 dicarboxylate/orotate:H<sup>+</sup> symporter	EG20044
carB	b0033	30817	34038	carbamoyl-phosphate synthetase large subunit	EG10135
lgoT	b4356	4593361	4594722	galactonate:H+ symporter	EG12587
yfbR	b2291	2408862	2409461	dCMP phosphohydrolase	G7185
yiaO	b3579	3746094	3747080	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein	EG12283
pyrL	b4246	4472399	4472533	<i>pyrBI</i> operon leader peptide	EG11279
rhtA	b0813	849210	850097	L-threonine/L-homoserine exporter	EG12134
pyrE	b3642	3815127	3815768	orotate phosphoribosyltransferase	EG10808
fieF	b3915	4106469	4107371	Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter	EG11873
prs	    b1207	1260928	1261875	ribose-phosphate diphosphokinase	EG10774
yicJ	b3657	3834547	3835929	putative xyloside transporter YicJ	EG11686
pyrB	b4245	4471460	4472395	aspartate carbamoyltransferase catalytic subunit	EG10805
bcr 	b2182	2278570	2279760	multidrug efflux pump Bcr	EG11419
umpH	b0675	699574	700326	UMP phosphatase	EG10634
uhpT	b3666	3845776	3847167	hexose-6-phosphate:phosphate antiporter	EG11054
purC	b2476	2596905	2597618	phosphoribosylaminoimidazole-succinocarboxamide synthase	EG10791
melB	b4120	4343369	4344790	melibiose:H<sup>+</sup>/Na<sup>+</sup>/Li<sup>+</sup> symporter	EG10578
purB	b1131	1190616	1191986	adenylosuccinate lyase	EG11314
dcuB	b4123	4347404	4348744	anaerobic C4-dicarboxylate transporter DcuB	EG10006
purM	b2499	2621197	2622234	phosphoribosylformylglycinamide cyclo-ligase	EG10798
btsT	b4354	4589129	4591279	pyruvate:H<sup>+</sup> symporter	G7942
purD	b4005	4204642	4205931	phosphoribosylamine--glycine ligase	EG10792
yfcJ	b2322	2438942	2440120	putative transporter YfcJ	G7198
purT	b1849	1930881	1932059	phosphoribosylglycinamide formyltransferase 2	EG11809
ydgI	b1605	1679557	1680939	putative arginine:ornithine antiporter	G6861
purN	b2500	2622234	2622872	phosphoribosylglycinamide formyltransferase 1	EG10799
zitB	b0752	783882	784823	Zn<sup>2+</sup>/Cd<sup>2+</sup>/Ni<sup>2+</sup>/Cu<sup>2+</sup> exporter	G6393
purK	b0522	551527	552594	5-(carboxyamino)imidazole ribonucleotide synthase	EG10796
xapB	b2406	2522729	2523985	xanthosine:H+ symporter XapB	EG13159
purE	b0523	552591	553100	<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase	EG10793
yjhF	b4296	4520671	4522020	KpLE2 phage-like element; putative transporter YjhF	EG12548
purL	b2557	2691656	2695543	phosphoribosylformylglycinamide synthetase	EG10797
yhjX	b3547	3710799	3712007	putative transporter YhjX	EG12268
purF	b2312	2428721	2430238	amidophosphoribosyltransferase	EG10794
psuT	b2164	2256085	2257335	putative pseudouridine transporter	EG12032
nadB	b2574	2710420	2712042	L-aspartate oxidase	EG10631
nadD	b0639	669931	670572	nicotinate-nucleotide adenylyltransferase	G6350
yihO	b3876	4064363	4065766	putative sulfoquinovose transporter	EG11841
agaD	b3140	3285478	3286269	galactosamine-specific PTS enzyme IID component	G7635
nadE	b1740	1822458	1823285	NH<sub>3</sub>-dependent NAD<sup>+</sup> synthetase	EG10663
eamA	b1533	1620238	1621137	cysteine/<i>O</i>-acetylserine exporter EamA	EG11639
